Year,Month,District,Region,Estimated_Population,Confirmed_Malaria_Cases,Incidence_per_1000,Incidence_per_100,Rainfall_mm,Temperature_C,RH_percent,Month_Num,Rainfall_lag1,Rainfall_lag2,Cases_lag1,Cases_lag2
2016,May,Kumba,Southwest,210124,904,4.3,0.43,0.21839786928908012,0.37735849056603765,0.8778280542986421,5,0.12968653964351567,0.19872976849006352,0.3881118881118881,0.25944055944055944
2016,June,Kumba,Southwest,210124,1171,5.57,0.56,0.37697193198115136,0.16981132075471717,0.9411764705882355,6,0.21839786928908012,0.12968653964351567,0.45524475524475516,0.3881118881118881
2016,July,Kumba,Southwest,210124,1230,5.85,0.59,0.33230895308338454,0.056603773584906314,0.995475113122172,7,0.37697193198115136,0.21839786928908012,0.641958041958042,0.45524475524475516
2016,August,Kumba,Southwest,210124,1411,6.72,0.67,0.47510755992624465,0.018867924528302105,1.0,8,0.33230895308338454,0.37697193198115136,0.6832167832167831,0.641958041958042
2016,September,Kumba,Southwest,210124,1371,6.52,0.65,0.29420200778528993,0.09433962264150964,0.9638009049773757,9,0.47510755992624465,0.33230895308338454,0.8097902097902098,0.6832167832167831
2016,October,Kumba,Southwest,210124,1005,4.78,0.48,0.24544150788772792,0.20754716981132137,0.9185520361990953,10,0.29420200778528993,0.47510755992624465,0.7818181818181817,0.8097902097902098
2016,November,Kumba,Southwest,210124,804,3.82,0.38,0.05982380659700882,0.3207547169811322,0.8461538461538467,11,0.24544150788772792,0.29420200778528993,0.5258741258741259,0.7818181818181817
2016,December,Kumba,Southwest,210124,665,3.16,0.32,0.02909239909854538,0.35849056603773555,0.6606334841628958,12,0.05982380659700882,0.24544150788772792,0.38531468531468527,0.5258741258741259
2017,January,Kumba,Southwest,215378,681,3.16,0.32,0.009424298299528785,0.33962264150943433,0.7194570135746603,1,0.02909239909854538,0.05982380659700882,0.28811188811188815,0.38531468531468527
2017,February,Kumba,Southwest,215378,541,2.51,0.25,0.017004712149149764,0.5094339622641506,0.5339366515837103,2,0.009424298299528785,0.02909239909854538,0.29930069930069925,0.28811188811188815
2017,March,Kumba,Southwest,215378,646,3.0,0.3,0.1706617496414669,0.43396226415094397,0.7692307692307696,3,0.017004712149149764,0.009424298299528785,0.2013986013986014,0.29930069930069925
2017,April,Kumba,Southwest,215378,893,4.15,0.41,0.1876664617906167,0.41509433962264186,0.8235294117647065,4,0.1706617496414669,0.017004712149149764,0.27482517482517477,0.2013986013986014
2017,May,Kumba,Southwest,215378,959,4.45,0.45,0.22290514238885473,0.37735849056603765,0.8325791855203617,5,0.1876664617906167,0.1706617496414669,0.4475524475524475,0.27482517482517477
2017,June,Kumba,Southwest,215378,1074,4.99,0.5,0.25486580618725674,0.2641509433962259,0.9049773755656112,6,0.22290514238885473,0.1876664617906167,0.4937062937062937,0.4475524475524475
2017,July,Kumba,Southwest,215378,1384,6.42,0.64,0.44089325957795533,0.07547169811320753,0.9592760180995477,7,0.25486580618725674,0.22290514238885473,0.5741258741258741,0.4937062937062937
2017,August,Kumba,Southwest,215378,1342,6.23,0.62,0.36385986478180704,0.0,1.0,8,0.44089325957795533,0.25486580618725674,0.7909090909090909,0.5741258741258741
2017,September,Kumba,Southwest,215378,1356,6.3,0.63,0.24175373898791233,0.07547169811320753,0.9728506787330318,9,0.36385986478180704,0.44089325957795533,0.7615384615384615,0.7909090909090909
2017,October,Kumba,Southwest,215378,1206,5.6,0.56,0.20508092603974598,0.18867924528301927,0.9230769230769234,10,0.24175373898791233,0.36385986478180704,0.7713286713286713,0.7615384615384615
2017,November,Kumba,Southwest,215378,888,4.12,0.41,0.18438844499078058,0.2264150943396226,0.8325791855203617,11,0.20508092603974598,0.24175373898791233,0.6664335664335664,0.7713286713286713
